location_type_id,location_desc,total_occurrences
1,ABANDONED BUILDING,130
2,AIRCRAFT,68
3,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,113
4,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,53
5,AIRPORT EXTERIOR - NON-SECURE AREA,85
6,AIRPORT EXTERIOR - SECURE AREA,54
7,AIRPORT PARKING LOT,240
8,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,211
9,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,112
10,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,16
11,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,131
12,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,319
13,AIRPORT TRANSPORTATION SYSTEM (ATS),19
14,AIRPORT VENDING ESTABLISHMENT,9
15,AIRPORT/AIRCRAFT,25
16,ALLEY,6122
17,ANIMAL HOSPITAL,24
18,APARTMENT,49460
19,APPLIANCE STORE,130
20,ATHLETIC CLUB,338
21,ATM (AUTOMATIC TELLER MACHINE),131
22,AUTO,18
23,AUTO / BOAT / RV DEALERSHIP,195
24,BANK,909
25,BAR OR TAVERN,2020
26,BARBER SHOP/BEAUTY SALON,1
27,BARBERSHOP,129
28,BEACH,1
29,BOAT / WATERCRAFT,24
30,BOWLING ALLEY,24
31,BRIDGE,23
32,CAR WASH,134
33,CEMETARY,20
34,CHA APARTMENT,633
35,CHA GROUNDS,1
36,CHA HALLWAY,1
37,CHA HALLWAY / STAIRWELL / ELEVATOR,167
38,CHA LOBBY,1
39,CHA PARKING LOT,4
40,CHA PARKING LOT / GROUNDS,456
41,CHA STAIRWELL,1
42,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,474
43,CLEANING STORE,80
44,COIN OPERATED MACHINE,18
45,COLLEGE / UNIVERSITY - GROUNDS,84
46,COLLEGE / UNIVERSITY - RESIDENCE HALL,21
47,COMMERCIAL / BUSINESS OFFICE,3739
48,CONSTRUCTION SITE,215
49,CONVENIENCE STORE,1732
50,CREDIT UNION,12
51,"CTA ""L"" PLATFORM",1
52,CTA BUS,875
53,CTA BUS STOP,392
54,CTA PARKING LOT / GARAGE / OTHER PROPERTY,233
55,CTA PLATFORM,825
56,CTA STATION,519
57,CTA SUBWAY STATION,1
58,CTA TRACKS - RIGHT OF WAY,7
59,CTA TRAIN,1459
60,CURRENCY EXCHANGE,215
61,DAY CARE CENTER,155
62,DEPARTMENT STORE,4109
63,DRIVEWAY,4
64,DRIVEWAY - RESIDENTIAL,994
65,DRUG STORE,1497
66,FACTORY / MANUFACTURING BUILDING,148
67,FEDERAL BUILDING,50
68,FIRE STATION,49
69,FOREST PRESERVE,14
70,GANGWAY,2
71,GARAGE,5
72,GAS STATION,3037
73,GAS STATION DRIVE/PROP.,8
74,GOVERNMENT BUILDING / PROPERTY,559
75,GROCERY FOOD STORE,2457
76,HALLWAY,7
77,HIGHWAY / EXPRESSWAY,39
78,HOSPITAL,1
79,HOSPITAL BUILDING / GROUNDS,1497
80,HOTEL,1
81,HOTEL / MOTEL,1294
82,HOUSE,28
83,JAIL / LOCK-UP FACILITY,31
84,KENNEL,3
85,LAKEFRONT / WATERFRONT / RIVERBANK,99
86,LIBRARY,241
87,MEDICAL / DENTAL OFFICE,300
88,MOVIE HOUSE / THEATER,99
89,NURSING / RETIREMENT HOME,848
90,OFFICE,1
91,OTHER (SPECIFY),3942
92,OTHER COMMERCIAL TRANSPORTATION,97
93,OTHER RAILROAD PROPERTY / TRAIN DEPOT,127
94,PARK PROPERTY,1833
95,PARKING LOT,23
96,PARKING LOT / GARAGE (NON RESIDENTIAL),9971
97,PAWN SHOP,32
98,POLICE FACILITY / VEHICLE PARKING LOT,756
99,POOL ROOM,8
100,PORCH,13
101,RESIDENCE,31884
102,RESIDENCE - GARAGE,2621
103,RESIDENCE - PORCH / HALLWAY,3120
104,RESIDENCE - YARD (FRONT / BACK),2621
105,RESTAURANT,5401
106,RETAIL STORE,2
107,ROOF,1
108,SAVINGS AND LOAN,4
109,SCHOOL - PRIVATE BUILDING,251
110,SCHOOL - PRIVATE GROUNDS,357
111,SCHOOL - PUBLIC BUILDING,1888
112,SCHOOL - PUBLIC GROUNDS,1680
113,SCHOOL YARD,2
114,SIDEWALK,13052
115,SMALL RETAIL STORE,7266
116,SPORTS ARENA / STADIUM,173
117,STAIRWELL,2
118,STREET,77680
119,TAVERN,2
120,TAVERN / LIQUOR STORE,607
121,TAXICAB,53
122,VACANT LOT,5
123,VACANT LOT / LAND,877
124,VEHICLE - COMMERCIAL,269
125,VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,3
126,VEHICLE - COMMERCIAL: TROLLEY BUS,5
127,VEHICLE - DELIVERY TRUCK,50
128,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",102
129,VEHICLE NON-COMMERCIAL,3716
130,VESTIBULE,2
131,WAREHOUSE,242
132,YARD,21
